Program,Proxy Size Estimate,Planned A+M Size,Actual A+M Size,Planned Time,Actual Time
2A,,30,42,50,62
2B,,50,84,55,69
3A,,250,192,240,195
3B,,20,37,40,48
RST,,50,59,67,68
4A,51,49.3,72,56.4,128
4B,37,34.2,19,92.9,112
5A,59,56.5,41,161,110
5B,168,137.1,132,400,199
6A,48,47.9,61,83.7,159
